moving,n_entry_nodes,n_exit_nodes,n_core_nodes,n_paths,congestion
44,4,8,25,35,0.2645336405529954
4,8,4,15,35,0.08826284348864993
14,6,7,35,30,0.14167522492868115
30,5,9,40,5,0.21514311315924223
44,3,5,10,30,0.46452176139272916
22,6,4,30,15,0.28822068612391194
38,6,3,35,5,0.15058869139053468
48,2,8,20,45,0.23734741423451097
36,8,5,40,45,0.25476497695852535
38,6,6,45,30,0.2556761108266485
12,7,2,35,25,0.09763645673323093
8,3,2,40,40,0.04220071684587814
36,2,7,25,5,0.15842467997951867
18,3,9,45,30,0.1258778517380668
20,8,8,40,25,0.22795794930875576
6,2,8,25,30,0.04057306707629288
46,9,7,45,30,0.3514904705012231
14,8,7,10,30,0.41565437788018433
46,7,5,25,20,0.37733845366103436
22,8,7,35,5,0.18340099480652475
20,5,5,20,20,0.28951587301587295
10,4,3,15,35,0.13971923536439668
30,8,3,45,35,0.17836024350002846
48,7,5,30,10,0.32739272913466466
16,7,6,20,10,0.2700226574500768
20,2,3,35,10,0.09775890571282277
42,9,9,40,35,0.33954480286738353
46,8,7,35,5,0.24939872723282863
48,2,5,35,35,0.09972474581230342
22,9,7,40,30,0.26211879160266255
10,4,6,40,30,0.06516442652329749
42,5,6,30,5,0.19457731694828465
38,5,8,45,5,0.2291406383341867
2,4,9,25,35,0.018669636456733234
10,7,8,40,20,0.11705222734254993
6,3,9,45,30,0.04143864140638334
20,6,9,15,10,0.43047516641065037
2,4,6,10,30,0.04830875576036866
16,9,4,40,20,0.2252398233486943
38,8,6,45,30,0.30148751208966257
12,8,7,40,10,0.206666026625704
48,3,7,40,10,0.21298355094726065
14,2,8,30,15,0.09425618706263868
38,4,6,35,35,0.1830168239338746
18,9,9,15,30,0.4551025772316095
36,6,9,30,45,0.298047619047619
38,4,8,40,10,0.2754292754736303
12,4,6,30,15,0.17730952380952383
28,2,7,35,20,0.12235205910321119
4,7,2,40,15,0.04380734767025089
46,2,7,45,35,0.09278153268475849
26,7,5,40,30,0.179417242703533
30,7,4,45,15,0.23905273937532007
12,7,2,40,10,0.1395789810547875
38,9,2,10,10,0.4310573476702509
12,7,6,15,20,0.23158013312852022
18,3,5,10,25,0.2688026113671274
28,4,8,25,35,0.26027240143369174
34,5,4,15,20,0.3673391363713944
42,2,5,40,20,0.11968759600614441
26,6,5,45,15,0.2284353985321727
28,9,6,25,30,0.3502878648233486
6,9,9,45,5,0.1321274392672242
16,8,7,10,45,0.32694828469022014
24,7,5,30,40,0.22016837344256704
46,6,6,10,5,0.4608469022017409
20,5,8,30,15,0.2666116231438812
12,7,4,20,20,0.22383538146441376
48,7,2,40,15,0.2168247567844342
44,2,2,20,35,0.0774193548387097
